epoch,step,lr,train_loss,train_loss_c,train_loss_r,train_loss_b,train_loss_l1,train_loss_bneg,val_loss,val_loss_c,val_loss_r,val_loss_b,val_loss_l1,val_loss_bneg
1,500,1.000000e-05,0.552410,0.142964,0.003361,0.019459,0.047193,0.004030,0.274714,0.137934,0.000214,0.005967,0.043287,0.000002
1,500,9.997557e-04,0.626857,0.139469,0.005017,0.018644,0.044921,0.005214,0.259706,0.133017,0.000227,0.005667,0.039401,0.000003
2,1000,9.990232e-04,0.253812,0.123432,0.000211,0.005498,0.045163,0.000007,0.236869,0.124782,0.000146,0.003973,0.045068,0.000005
3,1500,9.978032e-04,0.234505,0.116297,0.000162,0.004546,0.051105,0.000004,0.240699,0.123783,0.000137,0.005065,0.059754,0.000002
4,2000,9.960968e-04,0.227616,0.113352,0.000142,0.004205,0.054595,0.000003,0.244888,0.120257,0.000114,0.004582,0.055842,0.000002
5,2500,9.939057e-04,0.224633,0.111468,0.000131,0.004103,0.056191,0.000003,0.236783,0.120706,0.000105,0.004147,0.061612,0.000008
6,3000,9.912322e-04,0.222713,0.110233,0.000127,0.004057,0.056862,0.000003,0.230786,0.119386,0.000118,0.004455,0.062580,0.000000
7,3500,9.880788e-04,0.219982,0.109279,0.000127,0.003873,0.056482,0.000002,0.224267,0.118923,0.000109,0.003111,0.046411,0.000000
8,4000,9.844487e-04,0.219398,0.109054,0.000123,0.003865,0.057568,0.000002,0.217106,0.116620,0.000133,0.003410,0.043865,0.000002
9,4500,9.803454e-04,0.216234,0.108046,0.000120,0.003698,0.057724,0.000002,0.215269,0.116878,0.000113,0.002602,0.042767,0.000000
10,5000,9.757730e-04,0.214862,0.106946,0.000116,0.003711,0.059256,0.000002,0.210545,0.113291,0.000078,0.002655,0.060058,0.000000
11,5500,9.707360e-04,0.213060,0.107192,0.000113,0.003549,0.059085,0.000001,0.210438,0.113388,0.000086,0.002536,0.054999,0.000000
12,6000,9.652394e-04,0.212657,0.106816,0.000113,0.003545,0.058813,0.000002,0.210142,0.112029,0.000103,0.003581,0.058212,0.000003
13,6500,9.592885e-04,0.212200,0.105980,0.000110,0.003556,0.059496,0.000001,0.218071,0.115498,0.000112,0.003389,0.048284,0.000004
14,7000,9.528894e-04,0.212422,0.106896,0.000115,0.003482,0.058114,0.000002,0.205846,0.111999,0.000077,0.002493,0.063685,0.000001
15,7500,9.460482e-04,0.209620,0.104679,0.000106,0.003486,0.060657,0.000001,0.209697,0.111256,0.000122,0.004101,0.056659,0.000005
16,8000,9.387718e-04,0.210230,0.105019,0.000109,0.003491,0.059995,0.000001,0.216008,0.118185,0.000156,0.002868,0.033253,0.000001
17,8500,9.310673e-04,0.207390,0.104266,0.000106,0.003322,0.059997,0.000001,0.229907,0.119062,0.000148,0.003681,0.037866,0.000000
18,9000,9.229423e-04,0.206048,0.104022,0.000102,0.003254,0.060239,0.000001,0.204356,0.109994,0.000099,0.003005,0.052773,0.000001
19,9500,9.144049e-04,0.205813,0.103283,0.000102,0.003286,0.061837,0.000001,0.207753,0.110242,0.000069,0.002378,0.054604,0.000001
20,10000,9.054634e-04,0.205747,0.103279,0.000102,0.003287,0.060465,0.000001,0.203431,0.110384,0.000101,0.002830,0.050825,0.000001
21,10500,8.961267e-04,0.205409,0.102674,0.000099,0.003288,0.061882,0.000001,0.200755,0.109939,0.000087,0.002306,0.054402,0.000001
22,11000,8.864041e-04,0.203228,0.102372,0.000099,0.003162,0.061755,0.000001,0.210175,0.109787,0.000116,0.003714,0.051565,0.000012
23,11500,8.763050e-04,0.203211,0.102048,0.000099,0.003191,0.061560,0.000001,0.204861,0.109823,0.000101,0.002944,0.050523,0.000001
24,12000,8.658395e-04,0.201591,0.101264,0.000096,0.003181,0.062179,0.000001,0.201121,0.108438,0.000093,0.003068,0.057517,0.000002
25,12500,8.550179e-04,0.201709,0.101637,0.000097,0.003136,0.062057,0.000001,0.198650,0.107924,0.000093,0.002705,0.053498,0.000000
26,13000,8.438508e-04,0.201959,0.101867,0.000098,0.003075,0.060756,0.000001,0.204811,0.107628,0.000070,0.002423,0.059771,0.000000
27,13500,8.323494e-04,0.200738,0.101578,0.000096,0.003059,0.062117,0.000001,0.204061,0.108473,0.000096,0.003158,0.059006,0.000000
28,14000,8.205249e-04,0.200596,0.100976,0.000093,0.003093,0.063010,0.000001,0.215118,0.107270,0.000064,0.003049,0.059452,0.000000
29,14500,8.083890e-04,0.200355,0.100722,0.000094,0.003091,0.062888,0.000001,0.205075,0.107573,0.000096,0.003369,0.058078,0.000005
30,15000,7.959537e-04,0.198763,0.100356,0.000092,0.002976,0.063189,0.000000,0.199935,0.107701,0.000069,0.002225,0.061876,0.000000
31,15500,7.832313e-04,0.198468,0.100176,0.000090,0.002938,0.063095,0.000001,0.200710,0.107956,0.000068,0.002310,0.061273,0.000001
32,16000,7.702343e-04,0.197417,0.099693,0.000092,0.002944,0.063375,0.000001,0.207639,0.106939,0.000102,0.003897,0.060368,0.000000
33,16500,7.569755e-04,0.196286,0.099252,0.000087,0.002850,0.063710,0.000001,0.198876,0.108011,0.000075,0.001998,0.055365,0.000000
34,17000,7.434681e-04,0.197525,0.099600,0.000090,0.002953,0.063213,0.000001,0.198085,0.107638,0.000061,0.002058,0.069051,0.000000
35,17500,7.297253e-04,0.195907,0.099374,0.000089,0.002852,0.063549,0.000001,0.205396,0.106948,0.000098,0.003900,0.063160,0.000001
36,18000,7.157607e-04,0.196613,0.099201,0.000092,0.002920,0.062975,0.000001,0.196031,0.105078,0.000082,0.002413,0.056467,0.000001
37,18500,7.015882e-04,0.197418,0.099810,0.000091,0.002916,0.062830,0.000001,0.202441,0.106865,0.000072,0.002392,0.058930,0.000000
38,19000,6.872217e-04,0.196086,0.099197,0.000089,0.002865,0.063457,0.000001,0.200241,0.107441,0.000093,0.002435,0.053010,0.000001
39,19500,6.726753e-04,0.194988,0.098714,0.000088,0.002838,0.063810,0.000001,0.197509,0.106587,0.000079,0.002123,0.054244,0.000000
40,20000,6.579634e-04,0.194786,0.098622,0.000088,0.002814,0.063422,0.000001,0.196479,0.106289,0.000073,0.002697,0.065724,0.000002
41,20500,6.431006e-04,0.194988,0.098450,0.000088,0.002803,0.063909,0.000000,0.199022,0.106156,0.000070,0.002374,0.058771,0.000000
42,21000,6.281015e-04,0.194699,0.098412,0.000088,0.002825,0.064015,0.000001,0.199913,0.108647,0.000082,0.002363,0.055364,0.000000
43,21500,6.129809e-04,0.193279,0.097607,0.000086,0.002803,0.064408,0.000001,0.199612,0.107506,0.000071,0.002072,0.054789,0.000001
44,22000,5.977538e-04,0.193780,0.097948,0.000086,0.002790,0.064036,0.000001,0.198744,0.107878,0.000097,0.002391,0.048980,0.000000
45,22500,5.824351e-04,0.192755,0.097763,0.000085,0.002722,0.063861,0.000001,0.194850,0.106503,0.000072,0.002248,0.062430,0.000000
46,23000,5.670400e-04,0.192663,0.097882,0.000084,0.002702,0.064394,0.000000,0.197057,0.105175,0.000102,0.003081,0.052554,0.000000
47,23500,5.515836e-04,0.192272,0.097320,0.000084,0.002758,0.064763,0.000000,0.200668,0.108239,0.000103,0.002176,0.044638,0.000001
48,24000,5.360813e-04,0.191807,0.097254,0.000084,0.002678,0.064025,0.000001,0.193238,0.105006,0.000075,0.002524,0.060776,0.000001
49,24500,5.205483e-04,0.190993,0.096685,0.000083,0.002693,0.064860,0.000000,0.194620,0.105498,0.000066,0.001982,0.059239,0.000000
50,25000,5.050000e-04,0.191100,0.097028,0.000084,0.002631,0.064554,0.000000,0.192897,0.104758,0.000077,0.002506,0.060452,0.000000
51,25500,4.894517e-04,0.190717,0.097157,0.000081,0.002629,0.064505,0.000001,0.193958,0.106109,0.000064,0.002436,0.069834,0.000001
52,26000,4.739187e-04,0.190605,0.096418,0.000083,0.002682,0.064894,0.000000,0.193742,0.105772,0.000085,0.002082,0.052200,0.000000
53,26500,4.584164e-04,0.190423,0.096936,0.000081,0.002609,0.065209,0.000000,0.193067,0.105425,0.000076,0.002076,0.055669,0.000001
54,27000,4.429600e-04,0.189782,0.096169,0.000081,0.002603,0.064682,0.000000,0.192522,0.105045,0.000076,0.002120,0.055847,0.000000
55,27500,4.275649e-04,0.188996,0.096003,0.000080,0.002564,0.065105,0.000000,0.193925,0.104960,0.000082,0.002434,0.058995,0.000000
56,28000,4.122462e-04,0.190145,0.096522,0.000082,0.002607,0.064986,0.000000,0.192410,0.103943,0.000071,0.002299,0.060706,0.000001
57,28500,3.970191e-04,0.189104,0.095864,0.000080,0.002613,0.065002,0.000000,0.198013,0.104688,0.000072,0.002408,0.056269,0.000000
58,29000,3.818985e-04,0.189232,0.095833,0.000081,0.002582,0.064979,0.000000,0.193248,0.105604,0.000086,0.002023,0.051132,0.000000
59,29500,3.668994e-04,0.188846,0.095786,0.000081,0.002562,0.064656,0.000001,0.193659,0.105603,0.000072,0.002095,0.058964,0.000002
60,30000,3.520366e-04,0.188219,0.095402,0.000080,0.002548,0.064865,0.000000,0.192805,0.104335,0.000070,0.002063,0.059786,0.000000
61,30500,3.373247e-04,0.187888,0.095279,0.000080,0.002540,0.064856,0.000000,0.196496,0.106140,0.000083,0.001945,0.048039,0.000000
62,31000,3.227783e-04,0.188058,0.095633,0.000080,0.002549,0.064898,0.000000,0.194350,0.104214,0.000077,0.002138,0.056618,0.000002
